sent from my,Contains,,TRUE,
driving,Contains,,FALSE,
iH Hotels Venezia Salute Palace,Contains,,TRUE,
SI scccccccccxcx gecko,Contains,,TRUE,
are you ok?,Contains,,TRUE,
are you ok ,Contains,,FALSE,auto: duplicate phrase+brand+mode | auto: duplicate phrase+brand+mode | auto: duplicate phrase+brand+mode
altima,Lone,,TRUE,
sentra,Lone,,TRUE,
no J9 8th,Contains,,TRUE,
"TO MISTER CHUCK NORRIS AND FAMILY, SCRIPTURE",Contains,,TRUE,
food,Lone,,FALSE,
treats,Lone,,TRUE,
all,Lone,,TRUE,
booster,Lone,,TRUE,
woof,Contains,,FALSE,
no thank you,Contains,,TRUE,
no thanks,Contains,,TRUE,
no thx,Contains,,TRUE,
-&$(?&'xm I'm,Lone,,TRUE,
Lll p pbut but Let the l Pop Pop please l,Contains,,TRUE,
parmasean,Contains,,TRUE,
�,Contains,,FALSE,auto: empty after normalization | auto: empty after normalization | auto: empty after normalization
track,Contains,,FALSE,
trac,Contains,,TRUE,
trak,Contains,,TRUE,
enjoy,Contains,,TRUE,
replied,Contains,,TRUE,
message,Contains,,FALSE,
driving,Contains,,FALSE,auto: duplicate phrase+brand+mode | auto: duplicate phrase+brand+mode | auto: duplicate phrase+brand+mode
 driving with focus turned on,Contains,,TRUE,
"Driving, can't text. Sent from MY ROGUE",Contains,,TRUE,
"Driving, can't text.Sent from MY VERSA",Contains,,TRUE,
thegr rv g red yntggggggrggggrggrrgrgrrhirr e�eededee,Contains,,TRUE,
"i am for almighty god (our heavenly father) and his sovereignty over the earth (he was and is jesus's father, also, in fact, jesus's heavenly name was michael when he was an archangel, before he willingly came to earth to become a perfect sacrifice. before he was born, mary was told to call him jesus by the angel who spoke with her, so there was a name change to jesus done by our heavenly father and the angel told mary as he was instructed to say by our father in heaven.",Contains,,TRUE,
????? to �?dr. marty pets: tariff surcharge$0.your dog's nature's blend is made with the best ingredients on earth right here in the u.s.a. so there are no extra fees.but heads up: our on-sale inventory is in the red zone.unlock your discount on your dog's delicious food while you still can drmartypets.attn.tv/aqp8b9eiggco?�?,Contains,,TRUE,
"driving, can't text.",Contains,,TRUE,
